"termo","frequencia"
"tecnologia",4626
"inovacao",4183
"desenvolvimento",2897
"empresas",1524
"projeto",1491
"atividades",1267
"tecnologica",1193
"financiamento",1100
"recursos",1099
"ciencia",985
"servicos",942
"instituicao",866
"tecnologico",762
"entidades",715
"apoio",694
"icts",626
"transferencia",599
"fomento",572
"meio",529
"produtos",513
"processos",509
"processo",496
"direito",495
"intelectual",473
"empreendedorismo",437
"execucao",437
"regulamento",425
"propriedade",424
"base",401
"fundacao",397
"gestao",397
"contrato",393
"instrumentos",383
"social",381
"prazo",379
"tecnologicos",375
"empresa",364
"estimulo",358
"privadas",349
"inovadores",341
"ambientes",337
"promover",337
"ambiente",334
"atividade",328
"medida",327
"entidade",324
"pessoa",322
"privado",322
"provisoria",322
"inclusive",320
"cento",317
"resultados",316
"incentivo",315
"outros",306
"contratos",304
"economico",304
"sistema",302
"direta",291
"desde",288
"produtivo",287
"incluido",286
"demais",281
"fundo",281
"produto",280
"objetivos",279
"interesse",278
"startups",275
"seja",274
"inventor",271
"objeto",271
"outras",271
"caso",270
"bens",267
"plano",263
"tenha",262
"licenciamento",260
"conselho",259
"qualquer",258
"conhecimento",257
"instrumento",255
"capital",254
"inovador",253
"lucrativos",252
"sociedade",248
"finalidade",244
"nesta",236
"voltadas",236
"conforme",233
"ensino",233
"humanos",232
"valor",231
"diretamente",230
"secretaria",229
"parques",228
"despesas",221
"pagamento",221
"programas",221
"refere",221
"ambito",220
"institucional",218
"parceria",218
"servico",217
"visando",216
"superior",213
"economica",204
"independente",203
"setor",203
"incubadoras",202
"natureza",201
"programa",196
"cooperacao",195
"privada",195
"apoiar",190
"promotores",190
"serem",189
"mecanismos",188
"revogado",188
"cargo",186
"mercado",186
"tecnologicas",185
"industrial",184
"indireta",182
"tecnico",180
"sustentabilidade",179
"fundos",178
"investimento",178
"receita",178
"diretrizes",173
"cada",172
"destinados",172
"juridica",172
"objetivo",172
"inovadoras",168
"pessoas",168
"estimular",167
"contas",166
"negocios",165
"trabalho",165
"equipamentos",164
"valores",164
"estabelecer",163
"normas",160
"direitos",157
"incentivos",156
"militar",156
"nacional",156
"decorrentes",154
"economia",154
"competitividade",153
"infraestrutura",153
"partir",152
"vide",152
"constitui",151
"legislativa",151
"tenham",151
"estabelecidos",150
"economicos",149
"novos",149
"termo",149
"deve",147
"servidor",146
"acordos",144
"medidas",143
"criador",141
"anos",139
"grande",139
"quanto",139
"comite",138
"encerrada",138
"incentivar",138
"sandbox",138
"estabelecidas",137
"efetivo",136
"municipios",136
"polos",136
"facultado",135
"governo",135
"materiais",135
"convenio",134
"procedimentos",132
"outorga",130
"icti",129
"porte",129
"protegida",129
"proprio",128
"nacionais",127
"nucleo",126
"arts",125
"juridico",125
"convenios",124
"encomenda",124
"tecnica",124
"empresarial",123
"pequeno",123
"representante",123
"emprego",122
"membros",122
"receitas",121
"aplica",120
"dois",119
"neste",119
"conhecimentos",118
"microempresas",118
"observadas",118
"somente",118
"origem",117
"risco",117
"sociais",117
"conjunto",115
"gestor",114
"hipotese",114
"participar",114
"contribuicao",113
"custos",111
"resultantes",110
"aperfeicoamento",109
"observado",109
"areas",108
"controle",108
"partes",108
"prestar",108
"bolsas",107
"representantes",107
"alcance",106
"aprovado",106
"compartilhamento",106
"contrapartida",106
"cumprimento",105
"fiscal",105
"qualidade",104
"acesso",103
"concedente",103
"estrategicas",103
"contratado",102
"regime",102
"empregado",101
"envolvam",101
"especial",101
"norte",101
"novas",101
"parcerias",101
"administrativa",100
"area",100
"prejuizo",100
"brasileiras",99
"estabelecida",99
"estaduais",99
"propria",99
"dados",98
"estrutura",98
"institucionais",98
"centros",97
"cinco",97
"devendo",96
"durante",96
"ganhos",96
"prioridades",96
"decorrente",95
"especializados",95
"final",95
"tratam",95
"devem",94
"investimentos",94
"conveni",93
"prever",93
"quais",93
"requisitos",93
"vigorar",93
"contratante",92
"relacionados",92
"cofins",91
"meses",91
"casos",90
"cidade",90
"difus",90
"expressa",90
"iodo",90
"outra",90
"sendo",89
"servidores",89
"anual",88
"cuja",88
"distrito",88
"fiscais",88
"observar",88
"permitir",88
"pessoal",88
"determinado",87
"existentes",87
"legais",87
"receber",87
"venda",87
"celebrar",86
"compat",86
"metas",86
"definidos",85
"eletr",85
"exclusivamente",85
